event_id,scenario_id,evidence_phase,timestep_index,timestamp_s,vehicle_id,ecu_domain,can_id,message_name,dlc,data_hex,signals_json,connectivity_state,evidence_source,laboratory_generated,physical_vehicle,direct_actuation
560de6e7bc67b1cdf076b6cf,C01_SPEED_SENSOR_SPOOFING,PRE_EVENT,281,14.05,EV-LAB-001,VEHICLE_DYNAMICS,256,VEHICLE_DYNAMICS,8,05171717EC16D2FF,"{""SteeringAngle"":-4.57194632328887,""VehicleSpeed"":58.93397396538906,""WheelSpeedFL"":59.10906365493271,""WheelSpeedFR"":58.67646011748585}",CONNECTED,LOCAL_FORENSIC_BUFFER,True,False,False
560de6e7bc67b1cdf076b6cf,C01_SPEED_SENSOR_SPOOFING,PRE_EVENT,281,14.05,EV-LAB-001,DRIVER_INPUT,257,DRIVER_INPUT,8,4B013B000C000000,"{""Accelerator"":30.11711964118757,""BrakePressure"":5.920178178928514,""BrakeStatus"":1,""RegenCommand"":4.736142543142811}",CONNECTED,LOCAL_FORENSIC_BUFFER,True,False,False
560de6e7bc67b1cdf076b6cf,C01_SPEED_SENSOR_SPOOFING,PRE_EVENT,281,14.05,EV-LAB-001,POWERTRAIN_STATE,258,POWERTRAIN_STATE,8,02A90C6404010000,"{""MotorRPM"":3241.368568096398,""RegenAvailable"":1,""TorqueCommand"":112.35162953491084,""VCUState"":2}",CONNECTED,LOCAL_FORENSIC_BUFFER,True,False,False
560de6e7bc67b1cdf076b6cf,C01_SPEED_SENSOR_SPOOFING,PRE_EVENT,281,14.05,EV-LAB-001,BATTERY_STATUS,259,BATTERY_STATUS,8,C8F5930F19034702,"{""BMSState"":2,""BatteryTemperature"":31.20643772102021,""HVCurrent"":79.27071286145097,""HVVoltage"":398.7133932958079,""SOC"":79.80552746672588,""SOH"":98.0}",CONNECTED,LOCAL_FORENSIC_BUFFER,True,False,False
560de6e7bc67b1cdf076b6cf,C01_SPEED_SENSOR_SPOOFING,PRE_EVENT,281,14.05,EV-LAB-001,BATTERY_CELL_STATUS,260,BATTERY_CELL_STATUS,8,0E00150001010200,"{""CellTemperatureDeviation"":2.079899880752929,""CellVoltageDeviation"":0.014421039239903332,""ContactorState"":1,""IsolationStatus"":1,""PrechargeState"":2}",CONNECTED,LOCAL_FORENSIC_BUFFER,True,False,False
560de6e7bc67b1cdf076b6cf,C01_SPEED_SENSOR_SPOOFING,PRE_EVENT,281,14.05,EV-LAB-001,MOTOR_STATUS,261,MOTOR_STATUS,8,6E04746902000000,"{""InverterState"":2,""InverterTemperature"":64.74746529055828,""MotorTemperature"":76.17584462730811,""TorqueFeedback"":113.3547718665267}",CONNECTED,LOCAL_FORENSIC_BUFFER,True,False,False
560de6e7bc67b1cdf076b6cf,C01_SPEED_SENSOR_SPOOFING,PRE_EVENT,281,14.05,EV-LAB-001,ECU_HEARTBEAT,262,ECU_HEARTBEAT,8,0101010119000000,"{""BMSHeartbeat"":1,""GatewayHeartbeat"":1,""InverterHeartbeat"":1,""SequenceCounter"":25,""VCUHeartbeat"":1}",CONNECTED,LOCAL_FORENSIC_BUFFER,True,False,False
560de6e7bc67b1cdf076b6cf,C01_SPEED_SENSOR_SPOOFING,PRE_EVENT,281,14.05,EV-LAB-001,CHARGING_STATUS,263,CHARGING_STATUS,8,0000000000000000,"{""ChargeCurrent"":0.0,""ChargingState"":0,""ConnectorState"":0}",CONNECTED,LOCAL_FORENSIC_BUFFER,True,False,False
560de6e7bc67b1cdf076b6cf,C01_SPEED_SENSOR_SPOOFING,PRE_EVENT,281,14.05,EV-LAB-001,DIAGNOSTIC_STATUS,264,DIAGNOSTIC_STATUS,8,0001010000000000,"{""DiagnosticState"":0,""GatewayIntegrity"":1,""IntegrityStatus"":1}",CONNECTED,LOCAL_FORENSIC_BUFFER,True,False,False
560de6e7bc67b1cdf076b6cf,C01_SPEED_SENSOR_SPOOFING,PRE_EVENT,281,14.05,EV-LAB-001,AUXILIARY_POWER,265,AUXILIARY_POWER,8,E604010000000000,"{""AuxBatteryStatus"":1,""AuxBatteryVoltage"":12.540811531161868}",CONNECTED,LOCAL_FORENSIC_BUFFER,True,False,False
