scenario,samples,positives,positive_rate,mean_probability,max_probability,mean_positive_probability,mean_negative_probability
CRSS24_202405532153_V1,7,0,0.0,0.31530363214191875,0.31530363214191875,,0.31530363214191875
CRSS24_202405532158_V2,7,0,0.0,0.38208880770408665,0.38208880770408665,,0.38208880770408665
CRSS24_202405533487_V1,7,0,0.0,0.38208880770408665,0.38208880770408665,,0.38208880770408665
CRSS24_202405533502_V1,7,0,0.0,0.03228403328316773,0.03228403328316773,,0.03228403328316773
CRSS24_202405533564_V1,7,0,0.0,0.31530363214191875,0.31530363214191875,,0.31530363214191875
CRSS24_202405538603_V2,7,0,0.0,0.070200261646731,0.07020026164673102,,0.070200261646731
CRSS24_202405539043_V1,7,0,0.0,0.31530363214191875,0.31530363214191875,,0.31530363214191875
CRSS24_202405539063_V2,7,0,0.0,0.04965858465576467,0.04965858465576467,,0.04965858465576467
CRSS24_202405540331_V2,7,0,0.0,0.009363690522679982,0.009363690522679984,,0.009363690522679982
CRSS24_202405540342_V1,7,0,0.0,0.03228403328316773,0.03228403328316773,,0.03228403328316773
CRSS24_202405540410_V1,7,0,0.0,0.38208880770408665,0.38208880770408665,,0.38208880770408665
CRSS24_202405540429_V1,7,0,0.0,0.009363690522679982,0.009363690522679984,,0.009363690522679982
CRSS24_202405540429_V2,7,0,0.0,0.38208880770408665,0.38208880770408665,,0.38208880770408665
CRSS24_202405540463_V1,7,0,0.0,0.31530363214191875,0.31530363214191875,,0.31530363214191875
CRSS24_202405541653_V1,7,0,0.0,0.009363690522679982,0.009363690522679984,,0.009363690522679982
CRSS24_202405541706_V1,7,0,0.0,0.31530363214191875,0.31530363214191875,,0.31530363214191875
CRSS24_202405542844_V2,7,0,0.0,0.04965858465576467,0.04965858465576467,,0.04965858465576467
CRSS24_202405542879_V1,7,0,0.0,0.31530363214191875,0.31530363214191875,,0.31530363214191875
CRSS24_202405542933_V2,7,0,0.0,0.04867166735813721,0.0486716673581372,,0.04867166735813721
CRSS24_202405542994_V1,7,0,0.0,0.31530363214191875,0.31530363214191875,,0.31530363214191875
CRSS24_202405543400_V1,7,0,0.0,0.04867166735813721,0.0486716673581372,,0.04867166735813721
CRSS24_202405543427_V1,7,0,0.0,0.009363690522679982,0.009363690522679984,,0.009363690522679982
CRSS24_202405544319_V3,7,0,0.0,0.03601208574196107,0.03601208574196107,,0.03601208574196107
CRSS24_202405544325_V1,7,0,0.0,0.3342246919052213,0.33422469190522125,,0.3342246919052213
CRSS24_202405544339_V1,7,0,0.0,0.2652345183007208,0.2652345183007208,,0.2652345183007208
CRSS24_202405544371_V1,7,0,0.0,0.03376726026380217,0.03376726026380217,,0.03376726026380217
CRSS24_202405544383_V1,7,0,0.0,0.04128147618546097,0.04128147618546098,,0.04128147618546097
CRSS24_202405544524_V1,7,0,0.0,0.009363690522679982,0.009363690522679984,,0.009363690522679982
CRSS24_202405544528_V1,7,0,0.0,0.31530363214191875,0.31530363214191875,,0.31530363214191875
CRSS24_202405544549_V2,7,0,0.0,0.38208880770408665,0.38208880770408665,,0.38208880770408665
CRSS24_202405544595_V2,7,0,0.0,0.009363690522679982,0.009363690522679984,,0.009363690522679982
CRSS24_202405544624_V2,7,0,0.0,0.38208880770408665,0.38208880770408665,,0.38208880770408665
CRSS24_202405544632_V2,7,0,0.0,0.38208880770408665,0.38208880770408665,,0.38208880770408665
CRSS24_202405544681_V1,7,6,0.8571428571428571,0.12146110484491136,0.1383529932543086,0.12068094416302388,0.12614206893623628
CRSS24_202405544684_V2,7,0,0.0,0.009363690522679982,0.009363690522679984,,0.009363690522679982
CRSS24_202405544729_V1,7,3,0.42857142857142855,0.07557757423065291,0.13293172027593766,0.0841521943756899,0.06914660912187516
CRSS24_202405544755_V2,7,0,0.0,0.2652345183007208,0.2652345183007208,,0.2652345183007208
CRSS24_202405544777_V1,7,0,0.0,0.38208880770408665,0.38208880770408665,,0.38208880770408665
CRSS24_202405544791_V1,7,0,0.0,0.2487598090115018,0.24875980901150183,,0.2487598090115018
CRSS24_202405544804_V1,7,0,0.0,0.38208880770408665,0.38208880770408665,,0.38208880770408665
CRSS24_202405546008_V2,7,0,0.0,0.31530363214191875,0.31530363214191875,,0.31530363214191875
CRSS24_202405546036_V1,7,0,0.0,0.38208880770408665,0.38208880770408665,,0.38208880770408665
CRSS24_202405546125_V1,7,0,0.0,0.009363690522679982,0.009363690522679984,,0.009363690522679982
CRSS24_202405546125_V2,7,0,0.0,0.03042295195135827,0.03042295195135827,,0.03042295195135827
CRSS24_202405546162_V1,7,0,0.0,0.045853709502229924,0.04585370950222992,,0.045853709502229924
CRSS24_202405546262_V1,7,0,0.0,0.03228403328316773,0.03228403328316773,,0.03228403328316773
CRSS24_202405546269_V1,7,0,0.0,0.03042295195135827,0.03042295195135827,,0.03042295195135827
CRSS24_202405547677_V1,7,0,0.0,0.009363690522679982,0.009363690522679984,,0.009363690522679982
CRSS24_202405548243_V1,7,0,0.0,0.009363690522679982,0.009363690522679984,,0.009363690522679982
CRSS24_202405548294_V1,7,0,0.0,0.38208880770408665,0.38208880770408665,,0.38208880770408665
CRSS24_202405548434_V2,7,0,0.0,0.2652345183007208,0.2652345183007208,,0.2652345183007208
CRSS24_202405548511_V1,7,0,0.0,0.38208880770408665,0.38208880770408665,,0.38208880770408665
CRSS24_202405548512_V1,7,0,0.0,0.007841457567471274,0.007841457567471274,,0.007841457567471274
CRSS24_202405550491_V1,7,0,0.0,0.03228403328316773,0.03228403328316773,,0.03228403328316773
