telemetry_scenario_id,rows,anomaly_rate,future3_rate,future6_rate,bucket,split
CRSS24_202405532075_V1,24,0.0,0.0,0.0,0.19583757086560075,train
CRSS24_202405532075_V2,24,0.0,0.0,0.0,0.21411571470417914,train
CRSS24_202405532153_V1,24,0.0,0.0,0.0,0.9945182567449562,test
CRSS24_202405532153_V2,24,0.0,0.0,0.0,0.23993506055323757,train
CRSS24_202405532158_V1,24,0.0,0.0,0.0,0.30083532894515325,train
CRSS24_202405532158_V2,24,0.0,0.0,0.0,0.9415132314761898,test
CRSS24_202405532158_V3,24,0.0,0.0,0.0,0.5181812072447923,train
CRSS24_202405533474_V1,24,0.0,0.0,0.0,0.43192997771127384,train
CRSS24_202405533474_V2,24,0.0,0.0,0.0,0.4700259085442,train
CRSS24_202405533487_V1,24,0.0,0.0,0.0,0.8752969714988249,test
CRSS24_202405533497_V1,24,0.0,0.0,0.0,0.6498500880901352,train
CRSS24_202405533497_V2,24,0.0,0.0,0.0,0.31372403058077303,train
CRSS24_202405533502_V1,24,0.0,0.0,0.0,0.9606694157609412,test
CRSS24_202405533502_V2,24,0.0,0.0,0.0,0.23679940245039746,train
CRSS24_202405533521_V1,24,0.0,0.0,0.0,0.02749131597287285,train
CRSS24_202405533521_V2,24,0.0,0.0,0.0,0.053237554396790815,train
CRSS24_202405533542_V1,24,0.0,0.0,0.0,0.20140892807427072,train
CRSS24_202405533542_V2,24,0.0,0.0,0.0,0.042978180815227834,train
CRSS24_202405533564_V1,24,0.0,0.0,0.0,0.984388126522393,test
CRSS24_202405535823_V1,24,0.0,0.0,0.0,0.06111283205941152,train
CRSS24_202405535823_V2,24,0.0,0.0,0.0,0.7716360913523557,validation
CRSS24_202405535830_V1,24,0.0,0.0,0.0,0.5836990616712019,train
CRSS24_202405535830_V2,24,0.0,0.0,0.0,0.2678502239910537,train
CRSS24_202405535843_V1,24,0.0,0.0,0.0,0.5010896240130741,train
CRSS24_202405537161_V1,24,0.0,0.0,0.0,0.028743189766244775,train
CRSS24_202405537162_V1,24,0.0,0.0,0.0,0.7822634723927507,validation
CRSS24_202405537163_V1,24,0.0,0.0,0.0,0.2733274854890368,train
