timestamp_s,step,vehicle_id,scenario,VehicleSpeed,WheelSpeedFL,WheelSpeedFR,SteeringAngle,LongitudinalAcceleration,LateralAcceleration,YawRate,speed_wheel_speed_error,steering_yaw_joint_magnitude,Accelerator,BrakePressure,BrakeStatus,RegenCommand,VCUState,MotorRPM,TorqueCommand,RegenAvailable,TorqueFeedback,MotorTemperature,InverterTemperature,InverterState,SOC,SOH,HVVoltage,HVCurrent,BatteryTemperature,CellVoltageDeviation,CellTemperatureDeviation,BMSState,IsolationStatus,ContactorState,PrechargeState,ChargingState,ConnectorState,ChargeCurrent,VCUHeartbeat,BMSHeartbeat,InverterHeartbeat,GatewayHeartbeat,SequenceCounter,RCMHeartbeat,OccupantSensorHeartbeat,RestraintGatewayHeartbeat,RestraintSequenceCounter,can_frame_interval_s,DiagnosticState,IntegrityStatus,GatewayIntegrity,DriverSeatbelt,PassengerSeatbelt,DriverPretensioner,PassengerPretensioner,RolloverStatus,RestraintDiagnostic,RestraintIntegrity,RestraintSequence,DriverAirbag,PassengerAirbag,SideAirbag,CurtainAirbag,ImpactSeverity,DriverOccupant,PassengerOccupant,DriverPosition,PassengerPosition,CrashEventStatus,AuxBatteryVoltage,AuxBatteryStatus,cp_speed_consistency_error,cp_brake_consistency_error,cp_torque_tracking_error,cp_steering_yaw_consistency,cp_hv_power_kw,cp_battery_temperature_abs,accelerator_torque_joint,laboratory_generated,physical_vehicle,direct_actuation
0.0,0,EV-LAB-001,NORMAL_BASELINE,60.0,60.24,59.79,0.0,2.0,0.0,0.0,0.015000000000000568,0.0,32.0,0.0,0.0,4.800000000000001,2.0,3300.0,114.30000000000001,1.0,112.0,77.0,65.0,2.0,80.0,98.0,398.8,79.7,30.0,0.012,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,12.6,1.0,0.015000000000000568,0.0,2.3000000000000114,0.0,31.78436,30.0,3657.6000000000004,True,False,False
0.05,1,EV-LAB-001,NORMAL_BASELINE,60.160000000000004,60.35,59.88,0.1,0.32,0.0,0.1,0.045000000000001705,0.2,32.0,0.0,0.0,4.800000000000001,2.0,3309.0,114.60000000000001,1.0,114.4,76.0,65.0,2.0,80.0,98.0,398.8,78.7,30.0,0.013000000000000001,2.1,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,12.61,1.0,0.045000000000001705,0.0,0.20000000000000284,0.2,31.38556,30.0,3667.2000000000003,True,False,False
0.1,2,EV-LAB-001,NORMAL_BASELINE,60.32,60.63,60.03,0.2,0.32,0.0,0.1,0.00999999999999801,0.30000000000000004,30.0,0.0,0.0,4.800000000000001,2.0,3317.0,112.10000000000001,1.0,111.2,76.0,65.0,2.0,80.0,98.0,398.3,79.4,30.0,0.01,2.1,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,12.59,1.0,0.00999999999999801,0.0,0.9000000000000057,0.30000000000000004,31.625020000000003,30.0,3363.0000000000005,True,False,False
0.15,3,EV-LAB-001,NORMAL_BASELINE,60.480000000000004,60.74,60.34,0.30000000000000004,0.32,0.0,0.30000000000000004,0.060000000000002274,0.6000000000000001,32.800000000000004,0.0,0.0,4.800000000000001,2.0,3326.0,115.4,1.0,116.10000000000001,78.0,65.0,2.0,80.0,98.0,398.40000000000003,80.10000000000001,30.0,0.013000000000000001,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,12.56,1.0,0.060000000000002274,0.0,0.7000000000000028,0.6000000000000001,31.91184000000001,30.0,3785.120000000001,True,False,False
0.2,4,EV-LAB-001,NORMAL_BASELINE,60.63,60.95,60.550000000000004,0.4,0.32,0.0,0.4,0.11999999999999744,0.8,33.6,0.0,0.0,4.800000000000001,2.0,3335.0,116.2,1.0,116.10000000000001,77.0,65.0,2.0,80.0,98.0,398.0,80.80000000000001,31.0,0.009000000000000001,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,12.63,1.0,0.11999999999999744,0.0,0.09999999999999432,0.8,32.15840000000001,31.0,3904.32,True,False,False
0.25,5,EV-LAB-001,NORMAL_BASELINE,60.79,61.09,60.78,0.5,0.32,0.0,0.4,0.14500000000000313,0.9,32.0,0.0,0.0,4.800000000000001,2.0,3344.0,114.5,1.0,113.2,77.0,64.0,2.0,80.0,98.0,399.0,79.60000000000001,30.0,0.013000000000000001,1.9000000000000001,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,12.56,1.0,0.14500000000000313,0.0,1.2999999999999972,0.9,31.760400000000004,30.0,3664.0,True,False,False
0.3,6,EV-LAB-001,NORMAL_BASELINE,60.95,61.160000000000004,60.78,0.6000000000000001,0.32,0.0,0.5,0.01999999999999602,1.1,32.800000000000004,0.0,0.0,4.800000000000001,2.0,3352.0,115.4,1.0,115.60000000000001,77.0,66.0,2.0,80.0,98.0,399.0,81.7,31.0,0.01,2.1,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,6.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,12.6,1.0,0.01999999999999602,0.0,0.20000000000000284,1.1,32.5983,31.0,3785.120000000001,True,False,False
0.35,7,EV-LAB-001,NORMAL_BASELINE,61.11,61.51,60.88,0.7000000000000001,0.32,0.01,0.6000000000000001,0.08500000000000085,1.3000000000000003,32.4,0.0,0.0,4.800000000000001,2.0,3361.0,114.7,1.0,113.10000000000001,77.0,65.0,2.0,80.0,98.0,398.6,81.7,31.0,0.013000000000000001,1.6,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,7.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,12.58,1.0,0.08500000000000085,0.0,1.5999999999999943,1.3000000000000003,32.56562,31.0,3716.2799999999997,True,False,False
0.4,8,EV-LAB-001,NORMAL_BASELINE,61.26,61.46,61.06,0.8,0.32,0.01,0.6000000000000001,7.105427357601002e-15,1.4000000000000001,32.4,0.0,0.0,4.800000000000001,2.0,3370.0,114.9,1.0,117.0,76.0,66.0,2.0,80.0,98.0,398.40000000000003,80.10000000000001,30.0,0.01,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,8.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,12.6,1.0,7.105427357601002e-15,0.0,2.0999999999999943,1.4000000000000001,31.91184000000001,30.0,3722.76,True,False,False
0.45,9,EV-LAB-001,NORMAL_BASELINE,61.42,61.85,61.24,0.9,0.32,0.01,0.7000000000000001,0.125,1.6,32.800000000000004,0.0,0.0,4.800000000000001,2.0,3378.0,115.4,1.0,115.80000000000001,77.0,65.0,2.0,80.0,98.0,399.3,79.10000000000001,31.0,0.013000000000000001,2.2,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,9.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,12.58,1.0,0.125,0.0,0.4000000000000057,1.6,31.584630000000004,31.0,3785.120000000001,True,False,False
