scenario_id,window_index,start_timestep,end_timestep,y3_probability,y6_probability,y3_entropy,y6_entropy,y3_perturbed_mean,y6_perturbed_mean,y3_local_sensitivity_std,y6_local_sensitivity_std,uncertainty_score,feature_z_rms,feature_z_max,diagonal_mahalanobis,temporal_delta_z_rms,ood_score,ood_feature_rms_flag,ood_feature_max_flag,ood_mahalanobis_flag,ood_temporal_flag,ood_flag,laboratory_generated,physical_vehicle,direct_actuation,model_retraining,live_cortex_xdr,real_world_attack_claim
C07_HEARTBEAT_INTEGRITY_ATTACK,148,148,159,0.3144854307174682,0.9527771472930908,0.8982834469699947,0.2744805983941882,0.31448695063591,0.952777087688446,3.2013576856115837e-06,5.960464477539064e-08,0.8982834469699947,1118.960693359375,5121.66259765625,1252073.125,0.0017514397623017,4835564.0,True,True,True,False,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,145,145,156,0.314484030008316,0.9527769088745116,0.8982818722944013,0.2744816318380887,0.3144851624965668,0.9527769088745116,6.326708330561814e-07,9.733398087519165e-08,0.8982818722944013,1118.960693359375,5121.66259765625,1252073.125,0.0017998471157625,4835564.0,True,True,True,False,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,146,146,157,0.3144844770431518,0.9527770280838012,0.8982823748518682,0.2744811151163663,0.3144834339618683,0.9527769684791564,5.742911071138224e-07,5.960464477539064e-08,0.8982823748518682,1118.960693359375,5121.66259765625,1252073.125,0.0017841852968558,4835564.0,True,True,True,False,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,143,143,154,0.3144830763339996,0.9527767896652222,0.8982808001673354,0.2744821485593555,0.3144843578338623,0.9527767300605774,1.430304450877884e-06,1.141342096389053e-07,0.8982808001673354,1118.960693359375,5121.66259765625,1252073.125,0.0018288056598976,4835564.0,True,True,True,False,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,144,144,155,0.3144835233688354,0.9527769088745116,0.8982813027276553,0.2744816318380887,0.3144823610782623,0.9527769088745116,2.5291622023360105e-06,9.733398087519165e-08,0.8982813027276553,1118.960693359375,5121.66259765625,1252073.125,0.0018148574745282,4835564.0,True,True,True,False,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,142,142,153,0.3144825994968414,0.9527767896652222,0.8982802641015201,0.2744821485593555,0.3144837617874145,0.9527767300605774,3.066551471420098e-06,1.141342096389053e-07,0.8982802641015201,1118.960693359375,5121.66259765625,1252073.125,0.0018424375448375,4835564.0,True,True,True,False,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,141,141,152,0.3144820928573608,0.9527767896652222,0.8982796945299241,0.2744821485593555,0.3144808411598205,0.9527767300605774,8.369448778466904e-07,5.960464477539064e-08,0.8982796945299241,1118.960693359375,5121.66259765625,1252073.125,0.0018546956125646,4835564.0,True,True,True,False,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,147,147,158,0.3144848942756653,0.9527770280838012,0.8982828439042975,0.2744811151163663,0.3144869208335876,0.9527771472930908,6.090669444347441e-07,0.0,0.8982828439042975,1118.960693359375,5121.66259765625,1252073.125,0.0017681595636531,4835564.0,True,True,True,False,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,140,140,151,0.3144815862178802,0.9527766704559326,0.8982791249566102,0.2744826652801666,0.3144824504852295,0.9527767300605774,1.3064390032013762e-06,5.960464477539064e-08,0.8982791249566102,1118.960693359375,5121.66259765625,1252073.125,0.0018669475102797,4835564.0,True,True,True,False,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,149,149,160,0.314484566450119,0.9527742862701416,0.898282475363201,0.2744929996007003,0.3144863545894623,0.9527743458747864,1.0886350310101989e-06,8.42936955791629e-08,0.898282475363201,1071.3233642578125,5121.66259765625,1147733.75,337.3942565917969,4432600.5,True,True,True,True,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,139,139,150,0.314477801322937,0.9527739882469176,0.8982748698545637,0.2744942913779518,0.3144791722297668,0.9527739882469176,7.939210604490654e-07,6.882551417675131e-08,0.8982748698545637,1071.3233642578125,5121.66259765625,1147733.75,337.3942565917969,4432600.5,True,True,True,True,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,150,150,161,0.3144800066947937,0.9527714848518372,0.8982773492170182,0.2745051421944366,0.3144803345203399,0.9527714252471924,2.5522344913042616e-06,5.960464477539064e-08,0.8982773492170182,1021.466796875,5121.66259765625,1043394.375,337.3942565917969,4029637.0,True,True,True,True,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,138,138,149,0.3144739270210266,0.9527711868286132,0.8982705141390046,0.2745064339449198,0.3144736588001251,0.9527711868286132,2.671148422450642e-07,3.4412757088375656e-08,0.8982705141390046,1021.466796875,5121.66259765625,1043394.375,337.3942565917969,4029637.0,True,True,True,True,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,137,137,148,0.3144705891609192,0.9527685642242432,0.8982667614419722,0.2745178012263858,0.3144709169864654,0.9527685046195984,2.641613491505268e-06,5.960464477539064e-08,0.8982667614419722,969.0484619140624,5121.66259765625,939054.9375,337.3942565917969,3626673.25,True,True,True,True,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,151,151,162,0.3144766390323639,0.9527686834335328,0.8982735631504433,0.2745172845365575,0.3144760131835937,0.9527687430381776,2.486009179847315e-06,5.960464477539064e-08,0.8982735631504433,969.0484619140624,5121.66259765625,939054.9375,337.3942565917969,3626673.25,True,True,True,True,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,152,152,163,0.3144739866256714,0.9527657628059388,0.8982705811507741,0.2745299433061991,0.3144727051258087,0.9527657628059388,1.9180288290954195e-06,9.733398087519165e-08,0.8982705811507741,913.627685546875,5121.66259765625,834715.5,337.3942565917969,3223709.5,True,True,True,True,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,136,136,147,0.3144684433937073,0.9527660012245178,0.8982643489545078,0.2745289099474993,0.3144696354866028,0.9527660012245178,7.096458034538955e-07,0.0,0.8982643489545078,913.627685546875,5121.66259765625,834715.5,337.3942565917969,3223709.5,True,True,True,True,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,153,153,164,0.3144720792770386,0.9527630805969238,0.8982684367623603,0.2745415684660093,0.3144729733467102,0.9527631402015686,4.390560661704512e-06,7.694926296153427e-08,0.8982684367623603,854.6204223632812,5121.66259765625,730376.0625,337.3942565917969,2820746.0,True,True,True,True,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,135,135,146,0.3144665360450744,0.9527636170387268,0.8982622044953383,0.2745392434524972,0.3144660890102386,0.952763557434082,1.8229832221550168e-06,5.960464477539064e-08,0.8982622044953383,854.6204223632812,5121.66259765625,730376.0625,337.3942565917969,2820746.0,True,True,True,True,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,134,134,145,0.3144646883010864,0.9527612924575806,0.8982601270273012,0.2745493184444276,0.3144646883010864,0.9527613520622252,1.1982856449321844e-06,5.960464477539064e-08,0.8982601270273012,791.2247924804688,5121.66259765625,626036.625,337.3942565917969,2417782.25,True,True,True,True,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,154,154,165,0.3144708573818207,0.9527609944343568,0.8982670630007387,0.2745506100975326,0.3144751787185669,0.9527609944343568,2.472155983923585e-06,9.733398087519165e-08,0.8982670630007387,791.2247924804688,5121.66259765625,626036.625,337.3942565917969,2417782.25,True,True,True,True,True,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,133,133,144,0.3144625127315521,0.9527590274810792,0.8982576809469363,0.2745591349366231,0.3144625127315521,0.9527590274810792,5.92309447711159e-07,0.0,0.8982576809469363,722.2861328125,5121.66259765625,521697.25,337.3942565917969,2014818.75,True,True,True,True,True,True,False,False,False,False,False
